State,2008,2009,2010,2011,2012,2013,2014
UNITED STATES,337772627823,296373883488,364952633595,399371232631,425619082637,440434334115,466754455239
California,98676475455,89251843559,113378385712,120120866257,127756755582,130447528546,137676315945
Texas,31906468250,27134209550,31594753265,36357659719,40697443727,42833409044,45446796290
Illinois,19951675470,17835899353,21086507354,22974811816,27799035920,25783629391,29463893632
Tennessee,14111400176,13182123812,16405189747,20281193448,20579923241,22417806353,25333886659
New York,19420331631,16884385809,20556851665,21594597883,22616820699,22751745377,23074327027
Georgia,11691875469,10514481185,13934917075,14657244554,15816440169,17624059732,18650879121
New Jersey,15496377100,12499412832,15178253426,16901316398,16616616015,16773429410,18111852950
Pennsylvania,8912344916,7633669707,10610888597,15709532653,16471984061,18092380061,18097788090
Ohio,9643978617,7952913346,9507707321,11212944447,11737782712,12394982552,12670668757
North Carolina,9090846950,7412641977,8975597673,9244217906,9450242335,11514911286,12486268679
Florida,9980733027,8335486349,10336375301,11072433314,11604471206,11758681086,12255662076
Minnesota,8840971613,9173364014,9961247918,9629696651,10315338993,9947276212,10384894557
Washington,11343289359,10327872527,9758182758,8744083060,8464932816,8800760138,8302348527
Michigan,3988406124,2980161011,4531249001,5691465288,6753476712,7574820213,8140420830
Indiana,4490248135,4182310656,4910769851,5466125270,6067058859,6795978584,7721090230
Kentucky,6128549278,5520825001,7835948985,5759716026,6803062929,6639585026,6860910997
Wisconsin,4527979726,3979150434,4776742946,5376964215,5771683210,5853693332,6063467237
Virginia,3771169840,3135701856,3724919022,3944787466,4160361918,5043207013,5855261491
South Carolina,3568157126,3282723353,4312891949,5703058293,5449980554,5007738148,5538523165
Missouri,3299469826,2618748061,3108406610,3487036650,4085633634,4531749583,4554164578
Massachusetts,5116198038,4109375546,5063720169,5134187324,4610997422,4626800117,4405605701
Nevada,1474134639,1574459500,1852057205,2415527720,2750188663,3488629281,3258993947
Mississippi,2697333013,2168630582,2410607011,2882868507,3268689256,3417760292,3225379650
Maryland,2298268237,1599147729,2582720436,3098144565,2878118390,2842032849,3127411395
Connecticut,2353760592,1915203033,2395441866,2718695138,2644032957,2776555095,2977077366
Arizona,1621262510,1449519841,2096200290,2435285273,2737450079,2477905812,2707933025
Oklahoma,1538362639,1294657582,1572362803,2053990263,2289878323,2297508772,2649791970
Oregon,2673636256,1876646397,2354998152,2980800229,2962150525,2578092043,2631653191
Arkansas,1880716155,1674123502,2045614522,1934575310,2100356241,2262985138,2529941697
Unallocated,3018351002,2578840532,2629267156,2711094327,2590298570,2591437444,2389042083
Kansas,1874595692,1696130448,1907125158,2103692546,2181060413,2115176432,2347659479
Colorado,1733114110,1496658351,2098720858,1938564578,1864509674,1924890981,2267265446
Alabama,1458450834,1402622152,1644559221,1945795153,1957654938,1973265603,2033874199
Utah,1370313264,1116669550,1384354260,1488711083,1655599758,1887432637,2007287296
Idaho,307224627,245729695,488888260,512157778,701737367,1099754712,1499221201
Iowa,945176293,771029931,1009385939,1163553506,1292592877,1354330595,1411724898
Louisiana,1037308268,777170415,746278767,908471539,1149264209,1024244107,1309776857
Rhode Island,943952537,888425548,1058057671,1053403451,1224226706,1369003531,1135537256
New Hampshire,611404695,556721083,710097150,869003256,888407748,931683212,1105985121
Nebraska,586850810,437001640,614345982,850953191,918729763,837708885,927640238
New Mexico,234596085,376762378,757748738,831030923,756932064,721917298,781283409
Puerto Rico,712162288,700590858,766061302,817693411,866428032,829694805,771833744
Delaware,427174867,343045768,486325627,574445709,474335733,473879183,504261209
Maine,396177568,274166942,354451162,386829895,330917326,352630677,357390874
Alaska,114150713,54547109,187532023,398160866,200588882,181161005,333486222
West Virginia,231250204,314849019,294325082,246781144,237778898,283759199,278680173
Hawaii,617682552,319333853,291712210,250199752,310172359,298944588,262138112
Vermont,231744984,217176976,250107216,281906015,243083180,280710917,226113141
North Dakota,43003918,48390909,79664731,129061965,148375169,144896409,152513068
South Dakota,165455259,75232099,115265968,113523737,128225531,133186205,143404248
Montana,76748994,67348517,73224060,85918579,106406163,118318086,135777998
Wyoming,113973419,87375135,111690803,103750052,103627313,120999026,128846273
District of Columbia,20535149,20848446,27077567,16539606,19867070,21053867,29092231
Virgin Islands,6809524,7528030,6858054,6164926,7355746,8614225,11411683
